Iteration, FED
1165, -109.37538567607066
1166, -109.37538829667452
1167, -109.37539091514259
1168, -109.37539353148277
1169, -109.3753961457013
1170, -109.37539875780607
1171, -109.37540136780387
1172, -109.37540397570227
1173, -109.37540658150714
1174, -109.37540918522643
1175, -109.37541178686789
1176, -109.37541438643628
1177, -109.3754169839396
1178, -109.37541957938511
1179, -109.37542217278008
1180, -109.37542476413041
1181, -109.37542735344297
1182, -109.37542994072544
1183, -109.37543252598411
1184, -109.37543510922553
1185, -109.37543769045664
1186, -109.37544026968445
1187, -109.37544284691472
1188, -109.37544542215545
1189, -109.37544799541229
1190, -109.37545056669173
1191, -109.37545313600148
1192, -109.37545570334774
1193, -109.37545826873627
1194, -109.3754608321743
1195, -109.37546339366844
1196, -109.37546595322539
1197, -109.37546851085041
1198, -109.3754710665511
1199, -109.3754736203335
1200, -109.37547617220395
1201, -109.37547872216895
1202, -109.37548127023504
1203, -109.37548381640771
1204, -109.37548636069499
1205, -109.37548890310111
1206, -109.3754914436346
1207, -109.3754939822992
1208, -109.37549651910261
1209, -109.37549905405176
1210, -109.37550158715125
1211, -109.37550411840816
1212, -109.37550664782827
1213, -109.3755091754184
1214, -109.37551170118344
1215, -109.37551422513044
1216, -109.37551674726544
1217, -109.37551926759335
1218, -109.37552178612275
1219, -109.37552430285662
1220, -109.37552681780276
1221, -109.37552933096646
1222, -109.37553184235435
1223, -109.37553435197137
1224, -109.37553685982385
1225, -109.37553936591902
1226, -109.37554187026055
1227, -109.37554437285559
1228, -109.37554687370954
1229, -109.37554937282793
1230, -109.37555187021749
1231, -109.37555436588296
1232, -109.3755568598316
1233, -109.37555935206757
1234, -109.37556184259667
1235, -109.37556433142584
1236, -109.37556681855939
1237, -109.37556930400399
1238, -109.37557178776446
1239, -109.37557426984746
1240, -109.3755767502572
1241, -109.37557922900065
1242, -109.37558170608187
1243, -109.37558418150729
1244, -109.37558665528366
1245, -109.3755891274144
1246, -109.37559159790584
