x, y, Potential, x-field, y-field, z-field
 38, 98, 0.002638104612284832, -0.018458382129912777, 0.9998295432684732, 0.0004153753755700562
 39, 1, 0.0025635092476153877, -0.016605782201668445, -0.9998620267458437, 0.000418890396713429
 39, 2, 0.00513234370125809, -0.03317699446739298, -0.9994491431057838, 0.0008350947400853415
 39, 3, 0.007711840063542291, -0.04968016029471774, -0.9987644012601185, 0.0012459729564480528
 39, 4, 0.010307358025323492, -0.06608394983582862, -0.997812704095955, 0.0016489750798528635
 39, 5, 0.012924291745372973, -0.08236015569678211, -0.9966005399802806, 0.0020416818103855387
 39, 6, 0.015568081306658427, -0.09848455977597959, -0.9951356320505097, 0.0024218400368769834
 39, 7, 0.01824422413091881, -0.11443766732560863, -0.9934265200515768, 0.002787392201892577
 39, 8, 0.020958286323346165, -0.13020529339144618, -0.9914820946180569, 0.0031364987865236064
 39, 9, 0.023715913905696634, -0.14577899613535572, -0.9893111039292607, 0.003467553609578367
 39, 10, 0.026522843878170457, -0.16115636044654275, -0.9869216509912012, 0.0037791920334176903
 39, 11, 0.0293849150267535, -0.17634114302132015, -0.9843206967227504, 0.004070292516933916
 39, 12, 0.032308078361849506, -0.19134329626056568, -0.9815135799453593, 0.004339972233380062
 39, 13, 0.03529840703391536, -0.20617889265078676, -0.9785035607275284, 0.004587577666213081
 39, 14, 0.03836210551977545, -0.22086997372390763, -0.975291388715724, 0.004812671207857433
 39, 15, 0.041505517805853376, -0.23544434837171943, -0.9718748934128091, 0.005015014821246086
 39, 16, 0.0447351342071719, -0.2499353644802924, -0.9682485890584962, 0.005194551793448629
 39, 17, 0.048057596347702417, -0.2643816758634132, -0.9644032829263646, 0.005351387530689223
 39, 18, 0.05147969968074455, -0.2788270236320113, -0.9603256724765317, 0.005485770229513525
 39, 19, 0.05500839273737822, -0.293320047716736, -0.9559979138031248, 0.005598072125726257
 39, 20, 0.058650772043468205, -0.30791414046699966, -0.9513971410378157, 0.005688771883226417
 39, 21, 0.06241407132404089, -0.32266735018688963, -0.9464949136201638, 0.005758438549607622
 39, 22, 0.06630564319576276, -0.3376423381250853, -0.9412565654083073, 0.005807717381429793
 39, 23, 0.07033293100480172, -0.3529063876704952, -0.9356404262658984, 0.005837317734201025
 39, 24, 0.07450342776124201, -0.3685314590255863, -0.9295968828303778, 0.005848003122233181
 39, 25, 0.07882461820472897, -0.3845942759665011, -0.9230672404968032, 0.005840583482800451
 39, 26, 0.08330389884873242, -0.40117642276733506, -0.9159823431763481, 0.005815909625446193
 39, 27, 0.0879484693175099, -0.41836441800187363, -0.9082609011889854, 0.005774869810272911
 39, 28, 0.09276518631905822, -0.4362497164207145, -0.8998074710499144, 0.005718388374678648
 39, 29, 0.09776036908195276, -0.45492856865648984, -0.8905100246466504, 0.0056474263146408235
 39, 30, 0.10293954190614493, -0.47450163878159546, -0.8802370408053238, 0.005562983719815501
 39, 31, 0.1083070955223672, -0.49507323870124925, -0.8688340520659665, 0.005466103958869931
 39, 32, 0.11386584413839115, -0.5167499822674533, -0.8561195879979413, 0.005357879507978948
 39, 33, 0.11961644937799826, -0.5396385865598837, -0.8418804808058028, 0.005239459308090955
 39, 34, 0.12555667598653744, -0.5638424487766429, -0.8258665508576163, 0.0051120575214807975
 39, 35, 0.13168043775095073, -0.5894565019736104, -0.8077847870039535, 0.004976963533387901
 39, 36, 0.1379765867889863, -0.6165597036448521, -0.787293305743452, 0.00483555301071744
 39, 37, 0.14442739754394612, -0.6452043509712243, -0.7639956517907986, 0.004689299793597894
 39, 38, 0.15100670259089014, -0.6754012804235926, -0.7374364384295895, 0.0045397883710285225
 39, 39, 0.15767765745058218, -0.7070999713894526, -0.7070999713894511, 0.004388726702895859
 39, 40, 0.16439015625353146, -0.7401627708292656, -0.6724143903724745, 0.0042379592208505994
 39, 41, 0.17107800345292373, -0.7743331139231927, -0.6327649680850055, 0.004089479966177071
 39, 42, 0.17765608572481253, -0.8091990530595496, -0.5875213408755356, 0.003945445898869726
 39, 43, 0.18401799728414608, -0.844155975462442, -0.536084122856886, 0.003808190097176444
 39, 44, 0.19003485108593512, -0.8783762622825225, -0.47795564411676345, 0.0036802330789264385
 39, 45, 0.19555632002436535, -0.9107983744564032, -0.41283606546637236, 0.00356428643892386
 39, 46, 0.20041518669565542, -0.940151747716558, -0.34073845874952763, 0.003463234687096177
 39, 47, 0.2044366242367981, -0.9650335918666714, -0.26210444809158007, 0.0033800679754847703
 39, 48, 0.20745277875058854, -0.9840450170052613, -0.17788872142649226, 0.003317724576121138
 39, 49, 0.20932171086468568, -0.9959748107295568, -0.08957357782461035, 0.0032788028184119766
 39, 50, 0.20994748263344012, -0.9999942490873295, 0.0009168464456533861, 0.003265146989484592
 39, 51, 0.20929605193256995, -0.9958084276111371, 0.09140478103659493, 0.0032774231168674743
 39, 52, 0.2074014089657059, -0.9837135696735552, 0.17971261539722233, 0.0033149218997979278
 39, 53, 0.20435943965038583, -0.9645395587297094, 0.26391673668824717, 0.0033757578887869434
 39, 54, 0.20031203111567392, -0.9394984250250861, 0.3425357740262998, 0.0034572948364951644
 39, 55, 0.19542698469213476, -0.9099893774552577, 0.4146163091350229, 0.0035565598327293437
 39, 56, 0.1898790742438366, -0.877414958323809, 0.4797181652947087, 0.003670530739146629
 39, 57, 0.18383546363339748, -0.8430449558722497, 0.5378297040315743, 0.0037962928846258293
 39, 58, 0.17744642577207753, -0.8079397191382288, 0.5892520315176974, 0.003931105583191079
 39, 59, 0.1708407927442564, -0.7729254038390717, 0.634483833913811, 0.00407241970324011
 39, 60, 0.16412491449389824, -0.7386050156445864, 0.6741252408914776, 0.004217873595494478
 39, 61, 0.1573838475069364, -0.7053888492968717, 0.7088071074738155, 0.004365281461525734
 39, 62, 0.15068372937650318, -0.6735318350620533, 0.7391444401598551, 0.004512619939372828
